2024-06-05 19:29:47,089 INFO: ------------------------------------------------------------------------------------------------------------------------
2024-06-05 19:29:47,090 INFO: Starting processing.
2024-06-05 19:29:47,090 INFO: Loading tweets.
2024-06-05 19:29:47,689 INFO: 061854 tweets have being loaded.
2024-06-05 19:29:47,690 INFO: Processing tweets.
2024-06-05 19:29:47,692 INFO:     Preprocessing texts.
2024-06-05 19:29:47,778 INFO:           ['pasado', 'pero', 'pesar', 'poca', 'pocas', 'poco']
2024-06-05 19:29:47,779 INFO:           ['pocos', 'podeis', 'podemos', 'poder', 'podria', 'podriais']
2024-06-05 19:29:47,780 INFO:           ['podriamos', 'podrian', 'podrias', 'podrá', 'podrán', 'podría']
2024-06-05 19:29:47,781 INFO:           ['podrían', 'poner', 'por', 'por qué', 'porque', 'posible']
2024-06-05 19:29:47,783 INFO:           ['primer', 'primera', 'primero', 'primeros', 'principalmente', 'propia']
2024-06-05 19:29:47,784 INFO:           ['propias', 'propio', 'propios', 'próximo', 'próximos', 'pudo']
2024-06-05 19:29:47,785 INFO:           ['pueda', 'puede', 'pueden', 'puedo', 'pues', 'que']
2024-06-05 19:29:47,786 INFO:           ['quedó', 'queremos', 'quien', 'quienes', 'quiere', 'quién']
2024-06-05 19:29:47,787 INFO:           ['qué', 'realizado', 'realizar', 'realizó', 'respecto', 'sabe']
2024-06-05 19:29:47,788 INFO:           ['sabeis', 'sabemos', 'saben', 'saber', 'sabes', 'se']
2024-06-05 19:29:47,789 INFO:           ['sea', 'seamos', 'sean', 'seas', 'segunda', 'segundo']
2024-06-05 19:29:47,790 INFO:           ['según', 'seis', 'ser', 'seremos', 'será', 'serán']
2024-06-05 19:29:47,792 INFO:           ['serás', 'seré', 'seréis', 'sería', 'seríais', 'seríamos']
2024-06-05 19:29:47,793 INFO:           ['serían', 'serías', 'seáis', 'señaló', 'si', 'sido']
2024-06-05 19:29:47,794 INFO:           ['siempre', 'siendo', 'siete', 'sigue', 'siguiente', 'sin']
2024-06-05 19:29:47,795 INFO:           ['sino', 'sobre', 'sois', 'sola', 'solamente', 'solas']
2024-06-05 19:29:47,796 INFO:           ['solo', 'solos', 'somos', 'son', 'soy', 'su']
2024-06-05 19:29:47,798 INFO:           ['sus', 'suya', 'suyas', 'suyo', 'suyos', 'sí']
2024-06-05 19:29:47,799 INFO:           ['sólo', 'tal', 'también', 'tampoco', 'tan', 'tanto']
2024-06-05 19:29:47,800 INFO:           ['te', 'tendremos', 'tendrá', 'tendrán', 'tendrás', 'tendré']
2024-06-05 19:29:47,801 INFO:           ['tendréis', 'tendría', 'tendríais', 'tendríamos', 'tendrían', 'tendrías']
2024-06-05 19:29:47,802 INFO:           ['tened', 'teneis', 'tenemos', 'tener', 'tenga', 'tengamos']
2024-06-05 19:29:47,804 INFO:           ['tengan', 'tengas', 'tengo', 'tengáis', 'tenida', 'tenidas']
2024-06-05 19:29:47,805 INFO:           ['tenido', 'tenidos', 'teniendo', 'tenéis', 'tenía', 'teníais']
2024-06-05 19:29:47,806 INFO:           ['teníamos', 'tenían', 'tenías', 'tercera', 'ti', 'tiempo']
2024-06-05 19:29:47,807 INFO:           ['tiene', 'tienen', 'tienes', 'toda', 'todas', 'todavía']
2024-06-05 19:29:47,808 INFO:           ['todo', 'todos', 'total', 'trabaja', 'trabajais', 'trabajamos']
2024-06-05 19:29:47,809 INFO:           ['trabajan', 'trabajar', 'trabajas', 'trabajo', 'tras', 'trata']
2024-06-05 19:29:47,811 INFO:           ['través', 'tres', 'tu', 'tus', 'tuve', 'tuviera']
2024-06-05 19:29:47,812 INFO:           ['tuvierais', 'tuvieran', 'tuvieras', 'tuvieron', 'tuviese', 'tuvieseis']
2024-06-05 19:29:47,813 INFO:           ['tuviesen', 'tuvieses', 'tuvimos', 'tuviste', 'tuvisteis', 'tuviéramos']
2024-06-05 19:29:47,815 INFO:           ['tuviésemos', 'tuvo', 'tuya', 'tuyas', 'tuyo', 'tuyos']
2024-06-05 19:29:47,816 INFO:           ['tú', 'ultimo', 'un', 'una', 'unas', 'uno']
2024-06-05 19:29:47,817 INFO:           ['unos', 'usa', 'usais', 'usamos', 'usan', 'usar']
2024-06-05 19:29:47,818 INFO:           ['usas', 'uso', 'usted', 'va', 'vais', 'valor']
2024-06-05 19:29:47,819 INFO:           ['vamos', 'van', 'varias', 'varios', 'vaya', 'veces']
2024-06-05 19:29:47,820 INFO:           ['ver', 'verdad', 'verdadera', 'verdadero', 'vez', 'vosotras']
2024-06-05 19:29:47,822 INFO:           ['vosotros', 'voy', 'vuestra', 'vuestras', 'vuestro', 'vuestros']
2024-06-05 19:29:47,823 INFO:           ['y', 'ya', 'yo', 'él', 'éramos', 'ésta']
2024-06-05 19:29:47,824 INFO:           ['éstas', 'éste', 'éstos', 'última', 'últimas', 'último']
2024-06-05 19:29:47,825 INFO:           ['últimos']
2024-06-05 19:29:55,842 INFO:     Preprocessing of texts performed.
2024-06-05 19:29:55,843 INFO:        + There are 7807 texts that have been discarded.
2024-06-05 19:29:55,845 INFO:        + There are 54047 texts left.
2024-06-05 19:29:55,846 INFO:     Filtering texts by language with parameters:
2024-06-05 19:29:55,847 INFO:        - language = es
