|DR_model|C_model|n_clusters|s_score
0|PCA_TSNE|AGLO|16|0.5908972033975701
0|PCA_TSNE|AGLO|17|0.5978343903512084
0|PCA_TSNE|AGLO|18|0.6083002931016894
0|PCA_TSNE|AGLO|19|0.5882431068580625
0|PCA_TSNE|AGLO|20|0.5617067861161329
0|PCA_TSNE|AGLO|21|0.5360976318587037
0|PCA_TSNE|AGLO|22|0.5457329507933855
0|PCA_TSNE|AGLO|23|0.5402306815996789
0|PCA_TSNE|AGLO|24|0.5295303613147943
0|PCA_TSNE|AGLO|25|0.5198526579088111
0|PCA_TSNE|AGLO|26|0.5198202038158544
0|PCA_TSNE|AGLO|27|0.5238728708897691
0|PCA_TSNE|AGLO|28|0.522059114003624
0|PCA_TSNE|AGLO|29|0.5012911920231337
0|PCA_TSNE|AGLO|30|0.5010689366805257
0|PCA_TSNE|GMIXT|2|0.36916917596716575
0|PCA_TSNE|GMIXT|3|0.3701997305005579
0|PCA_TSNE|GMIXT|4|0.40636864868056877
0|PCA_TSNE|GMIXT|5|0.37373335807768227
0|PCA_TSNE|GMIXT|6|0.36998313800261257
0|PCA_TSNE|GMIXT|7|0.44211324080934844
0|PCA_TSNE|GMIXT|8|0.5164220115409728
0|PCA_TSNE|GMIXT|9|0.5291727079574438
0|PCA_TSNE|GMIXT|10|0.5635871132523151
0|PCA_TSNE|GMIXT|11|0.5694011743602013
0|PCA_TSNE|GMIXT|12|0.5786936650373115
0|PCA_TSNE|GMIXT|13|0.5483295008857036
0|PCA_TSNE|GMIXT|14|0.5426528684555191
0|PCA_TSNE|GMIXT|15|0.5182279862833413
0|PCA_TSNE|GMIXT|16|0.5293218704615061
0|PCA_TSNE|GMIXT|17|0.5114640586232274
0|PCA_TSNE|GMIXT|18|0.5110658629573003
0|PCA_TSNE|GMIXT|19|0.4912587895181685
0|PCA_TSNE|GMIXT|20|0.5009843501981651
0|PCA_TSNE|GMIXT|21|0.5975461723501985
0|PCA_TSNE|GMIXT|22|0.5725625200986512
0|PCA_TSNE|GMIXT|23|0.5524869426386527
0|PCA_TSNE|GMIXT|24|0.5434539173497129
0|PCA_TSNE|GMIXT|25|0.5471677096231501
0|PCA_TSNE|GMIXT|26|0.5384480446955561
0|PCA_TSNE|GMIXT|27|0.531940948699854
0|PCA_TSNE|GMIXT|28|0.5303831866687689
0|PCA_TSNE|GMIXT|29|0.5282462963664095
0|PCA_TSNE|GMIXT|30|0.5083965385420947
