"";"full_text"
"44";"@botasfinas @renzito1970 @edubarriga14 @UKR_token No sé. Pensaba que estaba en un canal de información de la guerra en Ucrania. No en el de sovienostálgicos.
Por cierto, en Siria llovieron bombas desde el mar Caspio. Y esas bombas, NO ERAN ESTADOUNIDENSES."
"45";"@ManuSori @botasfinas @edubarriga14 @UKR_token Assange ya publico, como la CIA organizaba la guerra en Ucrania, hace más de 8 años atrás..."
"46";"@ManuSori @renzito1970 @edubarriga14 @UKR_token No ha matado militares, Ucrania está ""ganando"" esta guerra y los rusos huyen muertos de miedo"
"47";"@ingridramirez04 @EvaristoGuerra6 @exitosape Deberías ilustrarte revisar los indicadores de pobreza, anemia y otras enfermedades q provoca el hambre. Eso q existió un boom económico x los altos precios de los minerales y no como hoy q hay una crisis mundial x razones externas cómo la guerra de Rusia con la OTAN (Ucrania)"
"48";"@renzito1970 @botasfinas @edubarriga14 @UKR_token Ah vaya, no sabía que la guerra de Ucrania se había fraguado desde los años 40.
Tu problema es que estás CONTRA EEUU. Y te crees que esto es una guerra de Rusia contra EEUU. ¿Dónde estabas cuando Rusia invadió Georgia y Moldavia? ¿Y Chechenia? En Pernambuco."
"49";"<U+0001F5D3> La #COP27 se prolonga por desacuerdo entre los países desarrollados y los más vulnerables sobre el pago de los daños del #CambioClimático
<U+0001F30F> Esperando conocer las conclusiones finales, con temor de que la guerra en Ucrania haga que los países retrocedan en su acción climática. https://t.co/XRRv3CkGEN"
"50";"No I'm watching
Tras la liberación de Jersón la guerra en Ucrania entra en una nueva fase | A fondo by @dwnews via @YouTube
Spanish mode.

https://t.co/R7OS6TQPeu"
"51";"Parte de guerra de la operación militar rusa en Ucrania el 18 de noviembre de 2022 https://t.co/paSpXZMONU"
"52";"<U+0001F535> #DIRECTO Los rusos minaron hasta las camas de las guarderías antes de retirarse https://t.co/wdlGm5FuM0 https://t.co/9hMQnjUwRj"
"53";"perdigones de bombas racimo que golpean indiscriminadamente a todo el que pilla por medio. Ha llegado el invierno de la guerra a Ucrania.

Apenas hay pisadas en la nieve de Petropavlivka porque apenas queda gente que la pise. A 125 kilómetros al este de la ciudad de Járkov y a"
